0,1-9317945942,ANAND,KNOWLEDGE INSTITUTE OF TECHNOLOGY AND ENGINEERING
1,1-9317945636,MEHSANA,"M.L.INSTITUTE OF DIPLOMA STUDIES, BHANDU"
2,1-9317952940,SURAT,METAS ADVENTIST COLLEGE
3,1-9317960270,GANDHINAGAR,EXCEL INSTITUTE OF DIPLOMA STUDIES
4,1-9317959960,RAJKOT,SUNSHINE EDUCATIONAL TRUST GROUP OF INSTITUTIONS
5,1-9318033986,MEHSANA,DR.NATUBHAI.P.PATEL POLYTECHNIC
6,1-9318035539,SURAT,SHRIMAD RAJCHANDRA INSTITUTE OF MANAGEMENT AND COMPUTER APPLICATION
7,1-9318030985,ANAND,SARDAR PATEL COLLEGE OF ADMINISTRATION & MANAGEMENT
8,1-9318047870,VADODARA,"GOVERNMENT POLYTECHNIC, CHHOTAUDEPUR"
9,1-9318049551,AHMEDABAD,APOLLO INSTITUTE OF ENGGINEERING & TECHNOLOGY
10,1-9318031269,AHMEDABAD,ASIA PACIFIC INSTITUTE OF HOTEL MANAGEMENT
11,1-9318043241,SABARKANTHA,"GOVERNMENT ENGINEERING COLLEGE, MODASA"
12,1-9318043981,MEHSANA,SHREE VASUDEVBHAI AND KANTIBHAI PATEL INSTITUTE OF ENGINEERING
13,1-9318032497,AMRELI,SMT SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE
14,1-9318049847,GANDHINAGAR,KALOL INSTITUTE OF PHARMACY
15,1-9318050025,JUNAGADH,OM ENGINEERING COLLEGE
16,1-9318064771,ANAND,M N COLLEGE OF PHARMACY
17,1-9318051570,SURAT,MAHAVIR SWAMI COLLEGE OF POLYTECHNIC
18,1-9318051767,JUNAGADH,N. R. VEKARIA INSTITUTE OF TECHNOLOGY
19,1-9318999786,SURAT,BHAGWAN MAHAVIR COLLEGE OF HOTEL MANAGEMENT
20,1-9319000049,SURAT,BHAGWAN MAHAVIR COLLEGE OF ARCHITECTURE
21,1-9318015733,JAMNAGAR,INS VALSURA
22,1-9318017534,GANDHINAGAR,SHREE SWAMINARAYAN INSTITUTE OF TECHNOLOGY
23,1-9318033208,SURENDRANAGAR,C. U. SHAH COLLEGE OF MASTER OF COMPUTER APPLICATION
24,1-9318033502,AHMEDABAD,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY  WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT
25,1-9318046064,MEHSANA,GUJARAT POWER ENGINEERING AND RESEARCH INSTITUTE
26,1-9318047330,JAMNAGAR,"KRISHNA INSTITUTE OF ENGINEERING & TECHNOLOGY, JAMNAGAR"
27,1-9318079102,ANAND,DEVANG PATEL INSTITUTE OF ADVANCE TECHNOLOGY AND RESEARCH
28,1-9318085438,VADODARA,"POLYTECHNIC, THE MAHARAJA SAYAJIRAO UNIVERSITY OF BARODA"
29,1-9318071754,NAVSARI,"GOVERNMENT POLYTECHNIC,NAVSARI"
30,1-9318067001,KHEDA,R. H. PATEL INSTITUTE OF MANAGEMENT
31,1-9318079506,VALSAD,SMT. B.N.B SWAMINARAYAN PHARMACY COLLEGE
32,1-9318079667,VALSAD,"LAXMI INSTITUTE OF MANAGEMENT, SARIGAM"
33,1-9318083481,KUTCH,HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH
34,1-9318083831,SURAT,SHREE NARANJIBHAI LALBHAI PATEL COLLEGE OF PHARMACY
35,1-9318066146,SURENDRANAGAR,"B. PHARMACY COLLEGE, NAVALGADH"
36,1-9318066261,RAJKOT,GOVERNMENT POLYTECHNIC RAJKOT
37,1-9318083336,KUTCH,"DEPARTMENT OF COMMERCE & MANAGEMENT, K.S.K.V. KACHCHH UNIVERSITY, BHUJ."
38,1-9318084507,ANAND,INDUKAKA IPCOWALA INSTITUTE OF MANAGEMENT
39,1-9318084150,MEHSANA,LALJIBHAI CHATURBHAI INSTITUTE OF TECHNOLOGY
40,1-9318067699,KUTCH,GOVERNMENT ENGINEERING COLLEGE BHUJ
41,1-9318085135,PATAN,KILACHAND DEVCHAND POLYTECHNIC
42,1-9318071420,PATAN,PG DEPARTMENT OF COMPUTER SCIENCE
43,1-9318071504,AHMEDABAD,"GOVERNMENT MCA COLLEGE, MANINAGAR(EAST)"
44,1-9318090254,SURAT,SHREE DHANVANTARY COLLEGE OF POST GRADUATE BUSINESS MANAGEMENT
45,1-9318104533,MEHSANA,S.V. INSTITUTE OF MANAGEMENT
46,1-9318102179,NAVSARI,VALLABH BUDHI POLYTECHNIC
47,1-9318103026,RAJKOT,A. V. PAREKH TECHNICAL INSTITUTE
48,1-9318104329,JAMNAGAR,PARAM INSTITUTE OF MANAGEMENT & RESEARCH
49,1-9318102398,BHAVNAGAR,GOVERNMENT ENGINEERING COLLEGE
50,1-9318102598,GANDHINAGAR,CHAUDHARI TECHNICAL INSTITUTE
51,1-9318097723,SURAT,BHAGWAN MAHAVIR COLLEGE OF MANAGEMENT
52,1-9318117525,VALSAD,"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM"
53,1-9318127880,VALSAD,GIDC RAJJU SHROFF ROFEL INSTITUTE OF MANAGEMENT STUDIES
54,1-9318117950,AHMEDABAD,GUJARAT TECHNOLOGICAL UNIVERSITY - GRADUATE SCHOOL OF ENGINEERING AND TECHNOLOGY
55,1-9318118166,PATAN,STATE INSTITUTE OF HOTEL MANAGMENT GUJARAT
56,1-9318129239,KUTCH,SRK INSTITUTE OF MANAGEMENT AND COMPUTER EDUCATION
57,1-9318102098,VADODARA,ELECTRONICS AND MECHANICAL ENGINEERING SCHOOL
58,1-9318104683,KUTCH,TOLANI INSTITUTE OF PHARMACY
59,1-9318104802,AHMEDABAD,AHMEDABAD INSTITUTE OF TECHNOLOGY
60,1-9318105199,AHMEDABAD,MICA
61,1-9318096223,KUTCH,TOLANI MOTWANE INSTITUTE OF MANAGEMENT STUDIES
62,1-9318100402,SURAT,SHREE SWAMI ATMANAND SARASWATI INSTITUTE OF TECHNOLOGY
63,1-9318136967,MEHSANA,ACHARYA MOTIBHAI PATEL INSTITUTE OF COMPUTER STUDIES
64,1-9318136342,SABARKANTHA,SAMARTH COLLEGE OF ENGINEERING & TECHNOLOGY
65,1-9318257131,KHEDA,IMAGE ENGINEERING & TECHNICAL  INSTITUTE
66,1-9318241160,AHMEDABAD,"GOVERNMENT POLYTECHNIC , AHMEDABAD"
67,1-9318227148,KHEDA,D.A.DIPLOMA ENGINEERING & TECHNOLOGY
68,1-9318182149,GANDHINAGAR,SCHOOL OF TECHNOLOGY (THE CONSTITUENT SCHOOL ?PANDIT DEENDAYAL PETROLEUM UNIVERSITY?)
69,1-9318243886,AMRELI,"DR. JIVRAJ N. MEHTA GOVERNMENT POLYTECHNIC, AMRELI"
70,1-9318197645,DAHOD,"GOVERNMENT POLYTECHNIC, DAHOD"
71,1-9318211960,SABARKANTHA,VEDVYAS POLYTECHNIC
72,1-9318257768,AHMEDABAD,GOVERNMENT POLYTECHNIC FOR GIRLS
73,1-9330004601,BANASKANTHA,GOVERNMENT POLYTECHNIC PALANPUR
74,1-9327164330,AHMEDABAD,NARAYANA BUSINESS SCHOOL
75,1-9328123861,SURAT,"GOVERNMENT POLYTECHNIC, VYARA"
76,1-9323304169,RAJKOT,"SAURASHTRA UNIVERSITY, DEPARTMENT OF PHARMCEUTICAL SCIENCES"
77,1-9331003944,ANAND,POST GRADUATE DEPARTMENT OF BUSINESS MANAGEMENT
78,1-9327093446,VADODARA,NATIONAL RAIL AND TRANSPORTATION INSTITUTE
79,1-9327109730,AHMEDABAD,NEW L J INSTITUTE OF ENGINEERING AND TECHNOLOGY
80,1-9319689491,SURAT,N.G. PATEL POLYTECHINC
81,1-9321404813,VADODARA,S.B.POLYTECHNIC
82,1-9321466777,AHMEDABAD,AMIRAJ COLLEGE OF ENGINEERING & TECHNOLOGY
83,1-9321541527,GANDHINAGAR,GOVERNMENT PHARMACY COLLEGE GANDHINAGAR
84,1-9322197820,BHAVNAGAR,SHRI J.M.SABVA INSTITUTE OF ENGINEERING & TECHNOLOGY
85,1-9321606464,AHMEDABAD,SAL INSTITUTE OF DIPLOMA STUDIES
86,1-9321659530,AHMEDABAD,HASMUKH GOSWAMI COLLEGE OF ENGINEERING
87,1-9322200677,AHMEDABAD,SWAMI KRISHNAJIVANDASJI INSTITUTE OF TECHNOLOGY
88,1-9321418184,JUNAGADH,BALAJI INSTITUTE OF ENGINEERING & TECHNOLOGY
89,1-9321476719,SURAT,VIDHYADEEP INSTITUTE OF ENGINEERING AND TECHNOLOGY
90,1-9321732054,AHMEDABAD,ADANI INSTITUTE OF INFRASTRUCTURE MANAGEMENT
91,1-9321989047,RAJKOT,"ATMIYA INSTITUTE OF TECHNOLOGY & SCIENCE FOR DIPLOMA STUDIES,"
92,1-9321581838,SURAT,GOVERNMENT PHARMACY COLLEGE SURAT
93,1-9321503151,SABARKANTHA,"D.L.PATEL INSTITUTE OF MANAGEMENT & TECHNOLOGY,MCA COLLEGE"
94,1-9321695429,RAJKOT,ATMIYA UNIVERSITY
95,1-9321945507,BHARUCH,VALIA POLYTECHNIC COLLEGE
96,1-9321945719,BHAVNAGAR,SHANTILAL SHAH ENGINEERING COLLEGE
97,1-9321438834,ANAND,CHANDUBHAI S. PATEL INSTITUTE OF TECHNOLOGY
98,1-9322170570,BHAVNAGAR,GYANMANJARI INSTITUTE OF TECHNOLOGY
99,1-9321445062,AHMEDABAD,NARNARAYAN SHASTRI INSTITUTE OF TECHNOLOGY
100,1-9321703624,AHMEDABAD,R. B. INSITUTE OF MANAGEMENT STUDIES
101,1-9321704798,AHMEDABAD,SAL INSTITUTE OF MANAGEMENT
102,1-9321824982,BHARUCH,GOVERNMENT POLYTECHNIC RAJPIPLA
103,1-9322188957,PANCHMAHAL,"ENGINEERING COLLEGE, TUWA"
104,1-9322131311,SABARKANTHA,ARRDEKTA INSTITUTE OF TECHNOLOGY
105,1-9322048426,JUNAGADH,AMRUT INSTITUTE JUNAGADH
106,1-9322052259,SURAT,MALIBA PHARMACY COLLEGE
107,1-9322243850,AHMEDABAD,L. J. INSTITUTE OF ENGINEERING & TECHNOLOGY
108,1-9322246358,ANAND,SMT.CHANDABEN MOHANBHAI PATEL INSTITUTE OF COMPUTER APPLICATIONS CMPICA
109,1-9322246480,BHAVNAGAR,SHREE SAMANVAY INSTITUTE OF MBA
110,1-9322496089,GANDHINAGAR,K.B.INTITUTE OF PHARMACEUTICAL EDUCTION AND RESEARCH
111,1-9322251490,VADODARA,VADODARA INSTITUTE OF ENGINEERING
112,1-9322323307,VADODARA,SIGMA INSTITUTE OF PHARMACY
113,1-9319996108,SURAT,DIWALIBA POLYTECHNIC
114,1-9322401854,KHEDA,R.H PATEL INSTITUTE OF TECHNOLOGY
115,1-9322403051,AHMEDABAD,SAL ENGINEERING & TECHNICAL INSTITUTE
116,1-9320364251,ANAND,A.D.PATEL INSTITUTE OF TECHNOLOGY
117,1-9320431619,MEHSANA,NOOTAN PHARMACY COLLEGE
118,1-9322092644,RAJKOT,CHRIST POLYTECHNIC INSTITUTE
119,1-9322095887,SURENDRANAGAR,C. U. SHAH COLLEGE OF ENGINEERING & TECHNOLOGY
120,1-9322097449,SURAT,A. Y. DADABHAI TECHNICAL INSTITUTE
121,1-9322344876,AHMEDABAD,L J INSTITUTE OF PHARMACY
122,1-9322410876,RAJKOT,ARPIT INSTITUTE OF ENGINEERING AND TECHNOLOGY (DIPLOMA)
123,1-9319956907,PATAN,SEVANTILAL KANTILAL SCHOOL OF BUSINESS MANAGEMENT
124,1-9322097688,SURENDRANAGAR,SHREE PANDIT NATHULALJI VYAS TECHNICAL CAMPUS
125,1-9320062975,AHMEDABAD,GRADUATE SCHOOL OF MANAGEMENT STUDIES
126,1-9322290726,SURENDRANAGAR,C.U.SHAH TECHNICAL INSTITUTE OF DIPLOMA STUDIES
127,1-9322353540,VADODARA,RMS POLYTECHNIC
128,1-9322354837,NAVSARI,PRIME INSTITUTE OF ENGINEERING & TECHNOLOGY
129,1-9322292081,JAMNAGAR,B. H. GARDI COLLEGE OF ENGINEERING & TECHNOLOGY
130,1-9320020402,SURAT,VIDYABHARTI TRUST COLLEGE OF MASTER IN COMPUTER APPLICATION
131,1-9322368900,ANAND,DR. JIVRAJ MEHTA INSTITUTE OF TECHNOLOGY
132,1-9320962303,ANAND,RAMANBHAI PATEL COLLEGE OF PHARMACY
133,1-9320704687,VADODARA,K.J.INSTITUTE OF ENGINEERING & TECHNOLOGY
134,1-9321011828,VADODARA,KRISHNA SCHOOL OF PHARMACY & RESEARCH
135,1-9320713500,ANAND,IPCOWALA INSTITUTE OF ENGINEERING & TECHNOLOGY
136,1-9319840152,MEHSANA,SHRI SARVAJANIK PHARMACY COLLEGE
137,1-9320977137,MEHSANA,V. M. PATEL INSTITUTE OF MANAGEMENT
138,1-9320649891,ANAND,POST GRADUATE DEPARTMENT OF PHARMACEUTICAL SCIENCES
139,1-9320742241,RAJKOT,SMT. R.D. GARDI DEPARTMENT OF BUSINESS MANAGEMENT
140,1-9320742341,PANCHMAHAL,"GOVERNMENT ENGINEERING COLLEGE,GODHRA"
141,1-9321109196,VADODARA,PARUL INSTITUTE OF MANAGEMENT
142,1-9321109364,ANAND,SARDAR VALLABHBHAI PATEL INSTITUTE OF TECHNOLOGY (SVIT)
143,1-9320877587,JUNAGADH,BALAJI ENGINEERING COLLEGE
144,1-9320747690,SURAT,SARVAJANIK COLLEGE OF ENGINEERING & TECHNOLOGY
145,1-9320750148,SURAT,SHREE DHANVANTARY PHARMACY COLLEGE
146,1-9319773224,KHEDA,DHARMSINH DESAI UNIVERSITY
147,1-9320832190,AHMEDABAD,SHANTI BUSINESS SCHOOL
148,1-9320703327,ANAND,MADHUBEN & BHANUBHAI PATEL INSTITUTE OF TECHNOLOGY
149,1-9323189610,PANCHMAHAL,"H.B.PATEL INSTITUTE OF DIPLOMA ENGG. & TECH,LIMBODARA,LUNAVADA"
150,1-9323152871,RAJKOT,B.K.MODY GOVT.PHARMACY COLLEGE
151,1-9323198368,RAJKOT,DARSHAN INSTITUTE OF ENGINEERING & TECHNOLOGY
152,1-9323265717,ANAND,ANAND PHARMACY COLLEGE
153,1-9322798244,GANDHINAGAR,SHRI JAIRAMBHAI PATEL INSTITUTE OF BUSINESS MANAGEMENT AND COMPUTER APPLICATIONS-TECHNICAL CAMPUS
154,1-9322918139,KUTCH,VEERAYATAN INSTITUTE OF PHARMACY
155,1-9323026626,VADODARA,PARUL POLYTECHNIC INSTITUTE
156,1-9323201071,RAJKOT,CHRIST INSTITUTE OF MANAGEMENT
157,1-9323299960,GANDHINAGAR,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS
158,1-9322703087,KHEDA,"FACULTY OF PHARMACY, DHARMSINH DESAI UNIVERSITY"
159,1-9323238664,VADODARA,PARUL INSTITUTE OF ENGINEERING & TECHNOLOGY
160,1-9322746055,MEHSANA,MERCHANT ENGINEERING COLLEGE
161,1-9323271206,GANDHINAGAR,VPMP POLYTECHNIC
162,1-9322804824,AHMEDABAD,SAL COLLEGE OF ENGINEERING
163,1-9323120520,SURAT,R. N. G. PATEL INSTITUTE OF TECHNOLOGY RNGPIT
164,1-9323173405,MEHSANA,B. S. PATEL POLYTECHNIC
165,1-9322760738,GANDHINAGAR,SARASWATI INSTITUTE OF PHARMACEUTICAL SCIENCES
166,1-9323041352,VADODARA,PARUL INSTITUTE OF TECHNOLOGY
167,1-9322816777,SABARKANTHA,GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS
168,1-9323280506,SABARKANTHA,"D. L. PATEL INSTITUTE OF MANAGEMENT & TECHNOLOGY, MBA COLLEGE"
169,1-9322716242,VADODARA,PARUL INSTITUTE OF MANAGEMENT AND RESEARCH
170,1-9323135615,MEHSANA,SHREE HARI POLYTECHNIC INSTITUTE
171,1-9323180298,SURAT,TAPI DIPLOMA ENGINEERING COLLEGE
172,1-9323255890,GANDHINAGAR,INDUS INSTITUTE OF TECHNOLOGY &  ENGINEERING
173,1-9322716664,RAJKOT,MARWADI EDUCATION FOUNDATION'S GROUP OF INSTITUTIONS
174,1-9323049012,MEHSANA,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS"""
175,1-9323286691,SURAT,PACIFIC SCHOOL OF ENGINEERING
176,1-9322549844,MEHSANA,"SANKALCHAND PATEL COLLEGE OF ENGINEERING, VISNAGAR"
177,1-9322836002,PANCHMAHAL,"B. PHARMACY COLLEGE, RAMPURA-KAKANPUR"
178,1-9323054470,VADODARA,PARUL INSTITUTE OF ENGINEERING & TECHNOLOGY (DIPLOMA STUDIES)
179,1-9317583900,MEHSANA,U. V. PATEL COLLEGE OF ENGINEERING
180,1-9317596224,BHARUCH,SHRI S'AD VIDYA MANDAL INSTITUTE OF TECHNOLOGY
181,1-9318543156,JUNAGADH,GOVERNMENT POLYTECHNIC - JUNAGADH
182,1-9318325521,PANCHMAHAL,"GOVERNMENT POLYTECHNIC,GODHRA"
183,1-9318325896,SURAT,SHREE DHANVANTARY COLLEGE OF ENGINEERING AND TECHNOLOGY
184,1-9318326087,SABARKANTHA,ASIAN INSTITUTE OF TECHNOLGY
185,1-9318312628,ANAND,"SHIVAM INSTITUTE OF MANAGEMENT, VALASAN (ANAND)"
186,1-9318326254,KUTCH,VEERAYATAN POLYTECHNIC
187,1-9318435741,NAVSARI,PRIME COLLEGE OF DIPLOMA
